First Name,Last Name,Email,Score,Grade
Kajol,Bhatt,kajol.bhatt@hogwarts.edu,97500
Sally,Birchgrove,sally.birchgrove@hogwarts.edu,96500
Stephen,Challock,stephen.challock@hogwarts.edu,118500
Dennis,Creevey,dennis.creevey@hogwarts.edu,106500
Lisa,Cullen,lisa.cullen@hogwarts.edu,95500
Winky,Crocket,winky.crocket@hogwarts.edu,102500
Fay,Dunbar,fay.dunbar@hogwarts.edu,1121500
Lily,Evans,lily.evans@hogwarts.edu,111500
Rosalyn,Ewhurst,rosalyn.ewhurst@hogwarts.edu,1104500
Terrence,Fogarty,terrence.fogarty@hogwarts.edu,119500
Hamish,Frater,hamish.frater@hogwarts.edu,1095501
Vicky,Frobisher,vicky.frobisher@hogwarts.edu,78500
Fred,Weasley,fred.weasley@hogwarts.edu,92500
Harry,Potter,harry.potter@hogwarts.edu,128500
Colin,Creevey,colin.creevey@hogwarts.edu,90500
Seamus,Finnigan,seamus.finnigan@hogwarts.edu,105500
Hannah,Abbott,hannah.abbott@hogwarts.edu,100500
Pansy,Parkinson,pansy.parkinson@hogwarts.edu,79500
Zacharias,Smith,zacharias.smith@hogwarts.edu,90500
Blaise,Zabini,blaise.zabini@hogwarts.edu,91500
Draco,Malfoy,draco.malfoy@hogwarts.edu,103500
Dean,Thomas,dean.thomas@hogwarts.edu,76500
Millicent,Bulstrode,millicent.bulstrode@hogwarts.edu,84500
Terry,Boot,terry.boot@hogwarts.edu,105500
Ernie,Macmillan,ernie.macmillan@hogwarts.edu,99500
Katie,Bell,katie.bell@hogwarts.edu,98500
Regulus,Black,regulus.black@hogwarts.edu,92500
Euan,Abercrombie,euan.abercrombie@hogwarts.edu,101500
Jada,Angela,jada.angela@hogwarts.edu,1102501
Pete,Balsall,pete.balsall@hogwarts.edu,1093501
Allison,Barnes,allison.barnes@hogwarts.edu,81500
Fiona,Belmont,fiona.belmont@hogwarts.edu,103500
Hermione,Granger,hermione.granger@hogwarts.edu,83500
Ron,Weasley,ron.weasley@hogwarts.edu,114500
Brandon,Angel,brandon.angel@hogwarts.edu,104500
Godric,Gryffindor,godric.gryffindor@hogwarts.edu,106500
Ryan,Henry,ryan.henry@hogwarts.edu,130500
David,Hamblin,david.hamblin@hogwarts.edu,1086500
Kelly,Harborne,kelly.harborne@hogwarts.edu,1111501
Thelma,Holmes,thelma.holmes@hogwarts.edu,95500
Geoffrey,Hooper,geoffrey.hooper@hogwarts.edu,86500
Carl,Hopkins,carl.hopkins@hogwarts.edu,96500
Satoru,Lida,satoru.lida@hogwarts.edu,1121501
Nandini,Johar,nandini.johar@hogwarts.edu,93500
Angelina,Johnson,angelina.johnson@hogwarts.edu,119500
Lee,Jordan,lee.jordan@hogwarts.edu,1100500
Roland,Abberlay,roland.abberlay@hogwarts.edu,76501
